tconst,primaryTitle,startYear,region,language,directors,writers,cast_crew,categories
tt4572098,Maikhana,1964,PK,,nm0620494,nm7186002,"['Agha Nasir', 'Firdous', 'Habibur Rehman', 'Hanif', 'Naashad', 'Nakhshab Jarchavi', 'Rehman Khan', 'Rukhsana', 'Shah Nawaz', 'Shamim Ara']","['actor', 'actress', 'composer', 'director', 'producer', 'writer']"
tt4572770,Dhiyan Namanian,1973,PK,,nm1531125,nm7235477,"['Afzaal Ahmad', 'Asad Bukhari', 'Ashiq Hussain', 'Inayat Hussain Bhatti', 'Khanum', 'Nadeem Abbas', 'Nanha', 'Qaisar Malik', 'Raj Multani', 'Saiqa', 'Shahida Mini']","['actor', 'actress', 'composer', 'director', 'producer', 'writer']"
tt4578102,I'll Meet You There,2020,PK,ur,nm2694154,"nm2694154,nm1472423,nm4504829","['Ahsan Bari', 'Allison McKay', 'Andrea Cirie', 'Aneesha Joshi', 'Anthony C. Kuhnz', 'Bernard Bygott', 'Cari Coughlin', 'Cion Collective', 'Faisal Baig', 'Faran Tahir', 'Iram Parveen Bilal', 'John Donovan Wilson', 'Meg Morman', 'Michael Fitzgerald', 'Nikita Tewani', 'Rajeev Dassani', 'Samrat Chakrabarti', 'Shawn Parsons', 'Sheetal Sheth', 'Spence Nicholson', 'Sunday Boling', 'Uttam Sirur']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4590482,Karachi Se Lahore,2015,PK,,"nm7249446,nm14049065","nm7249448,nm7249446","['Aashir Wajahat', 'Ahmed Ali Akbar', 'Ali Hamza', 'Ali Noor', 'Ayesha Omar', 'Eshita Syed', 'Hasan Ali Khan', 'Jawed Sheikh', 'Mantaha Tareen Maqsood', 'Rana Kamran', 'Rasheed Naz', 'Shahbaz Ali', 'Shehzad Sheikh', 'Shiraz Uppal', 'Sumbul Ansari', 'Wajahat Rauf', 'Yasir Hussain']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4595148,My Name Is Simi,2014,BD,,nm5069060,nm12879133,"['Anowara', 'Kabila', 'Md. Jahiduzzaman', 'Misha Sawdagor', 'Montazur Rahman Akbar', 'Simi Aktar Koli', 'Zayed Khan']","['actor', 'actress', 'director', 'producer', 'writer']"
tt4635548,Wrong No.,2015,PK,,nm3885999,nm3885999,"['Danish Nawaz', 'Danish Taimoor', 'Ismail Tara', 'Janita Asma', 'Jawed Sheikh', 'Nadeem Jafri', 'Namrah Fareed', 'Nayyar Ejaz', 'Qavi Khan', 'Rizwan A.Q.', 'Shafqat Cheema', 'Sohai Ali Abro', 'Syed Falak', 'Yasir Nawaz']","['actor', 'actress', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4643580,Huevos: Little Rooster's Egg-cellent Adventure,2015,BD,en,"nm2319883,nm1349604,nm5228798","nm2319883,nm1349604,nm0942501,nm1055128,nm2296859,nm2949944,nm5228798,nm5654268","['Aldo Cruz', 'Angélica Vale', 'Brian Medavoy', 'Bruno Bichir', 'Carlos Espejel', 'Daniel Othón M. Gallardo', 'Facundo', 'Gabriel Riva Palacio Alatriste', 'Humberto Vélez', 'Ignacio Martínez Casares', 'Jocelyn Wright', 'José Lavat', 'Maite Perroni', 'Marqus Bobesich', 'Melanie Simka', 'Mychal Simka', 'Ninel Conde', 'Omar Chaparro', 'Rodolfo Riva Palacio Alatriste', 'Sergio Sendel', 'Zacarías M. de la Riva']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4643580,Huevos: Little Rooster's Egg-cellent Adventure,2015,PK,en,"nm2319883,nm1349604,nm5228798","nm2319883,nm1349604,nm0942501,nm1055128,nm2296859,nm2949944,nm5228798,nm5654268","['Aldo Cruz', 'Angélica Vale', 'Brian Medavoy', 'Bruno Bichir', 'Carlos Espejel', 'Daniel Othón M. Gallardo', 'Facundo', 'Gabriel Riva Palacio Alatriste', 'Humberto Vélez', 'Ignacio Martínez Casares', 'Jocelyn Wright', 'José Lavat', 'Maite Perroni', 'Marqus Bobesich', 'Melanie Simka', 'Mychal Simka', 'Ninel Conde', 'Omar Chaparro', 'Rodolfo Riva Palacio Alatriste', 'Sergio Sendel', 'Zacarías M. de la Riva']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4644302,Bin Roye,2015,PK,,"nm3858613,nm5061808",nm5061847,"['Adeel Husain', 'Armeena Rana Khan', 'Farhan Alam', 'Farhat Ishtiaq', 'Humayun Saeed', 'Jahanzeb Khan', 'Khair Muhammad Kumbher', 'Mahira Khan', 'Mahmood Ali', 'Momina Duraid', 'Muhammad Dawood Hashmi', 'Nasir Ranjhy Wala', 'Sarmad Sultan Khoosat', 'Shani Arshad', 'Shehzad Kashmiri', 'Sher Kumbher', 'Syed Tanveer Alam', 'Zeba Bakhtiar']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'writer']"
tt4653612,Utthan Poton,1992,BD,,nm4620176,"nm6782373,nm5316525","['Al Masud', 'Hasan Ahmed', 'Humayun Faridi', 'Ilias Cobra', 'Jacky Alamgir', 'Jumbo', 'Kabir Kha', 'Kamol Sarkar', 'Mishela', 'Rubel', 'Sabiha', 'Shahidul Islam Khokon', 'Sohana', 'Zinnat Hossain']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'writer']"
tt4654660,Aas,1973,PK,,nm3753561,nm3753561,"['Ali Sufiyan Afaqi', 'Jafar Bukhari', 'Meena Chaudhry', 'Mohammad Ali', 'Mubarak Ali', 'Najma Mehboob', 'Nanha', 'Nirala', 'Nisar Bazmi', 'Qavi Khan', 'Rashid Javed', 'Saiqa', 'Saqi', 'Sentosh Rissal', 'Shabnam', 'Shankar Shambu']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
